EC_No;TA_Taux01;RT_Base01;RT_Montant01;JO_Num;EC_Date;CT_Num;JO_Type
571015;19.0;239.496;45.504;03;2024-07-16;4110001263;1
571023;19.0;2980.019;566.205;03;2024-07-16;4110000463;1
571027;19.0;2299.342;436.875;03;2024-07-16;4110000428;1
571039;19.0;1363.675;259.099;03;2024-07-16;4110000267;1
571056;19.0;8598.498;1633.715;03;2024-07-16;4110000022;1
571060;19.0;543.475;103.258;03;2024-07-16;4110000117;1
571081;19.0;2461.909;467.762;03;2024-07-16;4110000401;1
571266;19.0;957.982;182.017;05;2024-07-02;4110001247;2
571326;19.0;1274.4;242.136;05;2024-07-04;4110000056;2
571458;19.0;1369.645;260.233;05;2024-07-09;4110000408;2
571492;19.0;1763.84;335.13;05;2024-07-10;4110002470;2
571640;19.0;3504.042;665.767;10;2024-07-01;4110000407;2
571666;19.0;6529.838;1240.669;10;2024-07-01;4110000488;2
571670;19.0;1974.83;375.218;10;2024-07-02;4110000333;2
571682;19.0;2907.5;552.425;10;2024-07-02;4110000333;2
571684;19.0;1341.337;254.853;10;2024-07-02;4110000052;2
571692;19.0;3504.223;665.803;10;2024-07-02;4110000959;2
571718;19.0;1091.883;207.457;10;2024-07-02;4110000229;2
571722;19.0;1193.32;226.731;10;2024-07-02;4110000545;2
571726;19.0;1436.227;272.883;10;2024-07-02;4110000562;2
571777;19.0;1756.683;333.77;10;2024-07-03;4110000166;2
571785;19.0;1559.209;296.25;10;2024-07-03;4110000353;2
571820;19.0;5722.802;1087.332;10;2024-07-04;4110000958;2
571849;19.0;1476.01;280.442;10;2024-07-04;4110000406;2
571919;19.0;2425.654;460.873;10;2024-07-05;4110001851;2
572031;19.0;5351.054;1016.701;10;2024-07-09;4110000213;2
572125;19.0;1071.461;203.577;10;2024-07-10;4110000052;2
572137;19.0;2110.342;400.966;10;2024-07-10;4110000080;2
572209;19.0;4191.383;796.362;10;2024-07-12;4110000121;2
572223;19.0;861.766;163.735;10;2024-07-12;4110000117;2
572225;19.0;2082.429;395.66;10;2024-07-12;4110000959;2
572229;19.0;3152.942;599.059;10;2024-07-12;4110000526;2
572241;19.0;3339.902;634.581;10;2024-07-12;4110000255;2
572243;19.0;3818.895;725.591;10;2024-07-12;4110000025;2
572728;19.0;1530.293;290.756;01;2024-07-17;5200;0
572748;19.0;2051.689;389.819;03;2024-07-17;4110000319;1
572771;19.0;2065.389;392.424;03;2024-07-17;4110002526;1
572777;19.0;55966.796;10629.204;02;2024-07-17;1364;2
572779;19.0;7499.856;1425.373;02;2024-07-15;1053;2
572787;19.0;35912.027;6819.055;02;2024-07-12;1364;2
573020;19.0;-70.233;-13.344;10;2024-07-18;4110000004;2
573077;19.0;2281.059;433.404;03;2024-07-18;4110001247;1
573081;19.0;-2281.059;-433.404;03;2024-07-18;4110001247;1
573146;19.0;5332.766;1013.226;03;2024-07-18;4110000546;1
573236;19.0;4285.751;814.293;03;2024-07-18;4110000273;1
573341;19.0;2978.375;565.891;03;2024-07-18;4110000022;1
573350;19.0;3599.241;683.856;03;2024-07-18;4110000038;1
573379;19.0;36570.564;6948.407;03;2024-07-18;4110001684;1
573470;19.0;31285.705;5944.972;01;2024-07-19;1343;0
573513;19.0;-4.228;-0.803;01;2024-07-19;1348;0
573544;19.0;2001.911;380.363;03;2024-07-19;4110000022;1
573603;19.0;1974.788;375.21;03;2024-07-19;4110000249;1
573678;19.0;5497.721;1044.566;03;2024-07-19;4110000368;1
573682;19.0;-190.32;-36.161;03;2024-07-19;4110000368;1
573712;19.0;-700.95;-133.181;03;2024-07-19;4110000368;1
573743;19.0;2395.0;455.05;03;2024-07-19;4110000036;1
573854;19.0;2478.508;470.916;03;2024-07-19;4110001839;1
573874;19.0;1900.7;361.134;03;2024-07-20;4110000052;1
573885;19.0;4718.232;896.464;03;2024-07-20;4110000022;1
573906;19.0;5089.193;966.947;03;2024-07-20;4110000066;1
573916;19.0;1437.0;273.03;03;2024-07-20;4110000462;1
573937;19.0;1629.192;309.546;03;2024-07-20;4110000368;1
573941;19.0;2201.894;418.36;03;2024-07-20;4110000117;1
573971;19.0;1974.788;375.21;03;2024-07-20;4110000440;1
574135;19.0;3864.309;734.219;03;2024-07-22;4110000075;1
574171;19.0;2089.963;397.092;03;2024-07-22;4110000353;1
574175;19.0;2545.376;483.622;03;2024-07-22;4110000518;1
574208;19.0;-146.848;-27.901;03;2024-07-22;4110000117;1
574406;19.0;-387.059;-73.541;03;2024-07-22;4110001684;1
574409;19.0;428.235;81.365;03;2024-07-22;4110001684;1
574422;19.0;4286.236;814.384;03;2024-07-22;4110000333;1
574430;19.0;-242.027;-45.985;03;2024-07-22;4110000333;1
574458;19.0;6464.52;1228.259;03;2024-07-22;4110000086;1
574486;19.0;6222.244;1182.227;03;2024-07-22;4110000502;1
574630;19.0;1185.882;225.318;03;2024-07-22;4110000346;1
574636;19.0;-708.0;-134.52;03;2024-07-22;4110000346;1
574639;19.0;-698.619;-132.738;03;2024-07-22;4110000075;1
574642;19.0;1890.834;359.258;03;2024-07-22;4110000407;1
574696;19.0;1901.41;361.269;03;2024-07-23;4110000562;1
574706;19.0;3224.334;612.623;03;2024-07-23;4110000256;1
574720;19.0;1463.427;278.05;03;2024-07-23;4110000085;1
574783;19.0;4361.819;828.749;03;2024-07-23;4110000353;1
574805;19.0;1358.889;258.189;03;2024-07-23;4110000025;1
574819;19.0;649.434;123.393;03;2024-07-23;4110000541;1
574827;19.0;9819.92;1865.78;01;2024-07-23;1345;0
574860;19.0;2965.742;563.494;03;2024-07-23;4110000022;1
574866;19.0;-81.783;-15.539;03;2024-07-23;4110000022;1
574875;19.0;8832.447;1678.162;03;2024-07-24;4110000080;1
574883;19.0;1384.071;262.974;03;2024-07-24;4110000166;1
574893;19.0;10285.624;1954.654;01;2024-07-24;1348;0
574921;19.0;9845.4;1870.6;02;2024-07-20;1345;2
574948;19.0;13991.699;2657.301;01;2024-07-24;1364;0
574962;19.0;11554.499;2194.501;01;2024-07-24;1364;0
575012;19.0;1672.911;317.857;03;2024-07-25;4110000551;1
575018;19.0;3633.299;690.329;03;2024-07-25;4110000522;1
575025;19.0;6211.354;1180.154;03;2024-07-25;4110000052;1
575031;19.0;1333.577;253.38;03;2024-07-25;4110000229;1
575135;19.0;12144.296;2307.416;03;2024-07-25;4110000403;1
575147;19.0;3040.189;577.637;03;2024-07-25;4110000386;1
575174;19.0;2289.256;434.959;03;2024-07-25;4110000472;1
575237;19.0;1492.264;283.53;03;2024-07-25;4110000022;1
575276;19.0;2885.047;548.162;03;2024-07-26;4110000321;1
575310;19.0;18791.002;3570.441;01;2024-07-26;1346;0
575314;19.0;13991.699;2657.301;01;2024-07-26;1364;0
575318;19.0;13991.699;2657.301;01;2024-07-26;1364;0
575322;19.0;54.204;10.299;01;2024-07-26;1346;0
575328;19.0;13991.699;2657.301;01;2024-07-26;1364;0
575369;19.0;3230.202;613.737;10;2024-07-01;4110000502;2
575383;19.0;8512.699;1617.413;03;2024-07-26;4110000958;1
575397;19.0;13951.401;2650.764;03;2024-07-26;4110000022;1
575421;19.0;11409.528;2167.813;03;2024-07-26;4110001666;1
575432;19.0;444.969;84.543;03;2024-07-26;4110000239;1
575438;19.0;-444.969;-84.543;03;2024-07-26;4110000239;1
575469;19.0;1363.675;259.099;05;2024-07-16;4110000267;2
575533;19.0;543.475;103.258;10;2024-07-16;4110000117;2
575757;19.0;2395.0;455.05;10;2024-07-19;4110000036;2
575839;19.0;2055.045;390.459;10;2024-07-22;4110000117;2
575849;19.0;6464.52;1228.259;10;2024-07-22;4110000086;2
575851;19.0;6222.244;1182.227;10;2024-07-22;4110000502;2
575887;19.0;3165.69;601.481;10;2024-07-22;4110000075;2
575919;19.0;1358.889;258.189;10;2024-07-23;4110000025;2
575949;19.0;22273.246;4232.107;02;2024-07-26;1343;2
575967;19.0;8986.338;1707.407;03;2024-07-27;4110000264;1
576088;19.0;1853.968;352.254;03;2024-07-29;4110001757;1
576105;19.0;442.497;84.075;03;2024-07-29;4110000350;1
576109;19.0;1330.806;252.855;03;2024-07-29;4110000350;1
576145;19.0;1166.611;221.657;03;2024-07-29;4110000423;1
576166;19.0;2461.909;467.763;03;2024-07-29;4110000038;1
576182;19.0;3470.048;659.309;03;2024-07-29;4110001891;1
576199;19.0;876.242;166.486;03;2024-07-29;4110000229;1
576211;19.0;5369.498;1020.203;03;2024-07-29;4110000494;1
576252;19.0;1713.316;325.531;03;2024-07-29;4110000270;1
576283;19.0;18646.86;3542.84;01;2024-07-29;1345;0
576314;19.0;28420.275;5400.14;01;2024-07-29;1343;0
576326;19.0;5597.753;1063.572;03;2024-07-29;4110000022;1
576338;19.0;1761.342;334.653;03;2024-07-29;4110000475;1
576342;19.0;3587.713;681.666;03;2024-07-29;4110000213;1
576346;19.0;2196.908;417.413;03;2024-07-29;4110001437;1
576350;19.0;-201.689;-38.321;03;2024-07-29;4110000213;1
576400;19.0;4753.45;903.157;03;2024-07-29;4110000546;1
576404;19.0;-70.8;-13.452;03;2024-07-29;4110001437;1
576407;19.0;17752.32;3372.941;01;2024-07-29;1356;0
