DO_Piece;DR_Montant;DR_Regle;DR_ModeReg
AM2300048;0.0;0;1
AM2300050;0.0;0;1
MF2300192;0.0;0;1
MF2300194;0.0;0;2
MF2300195;0.0;0;1
MF2300196;0.0;0;2
MF2300198;0.0;0;1
MF2300199;0.0;0;1
MF2300200;0.0;0;2
MF2300201;0.0;0;1
MF2300202;0.0;0;1
AM2300049;0.0;0;1
AM2300051;0.0;0;1
AM2300052;0.0;0;1
AM2300053;0.0;0;1
MF2300203;0.0;0;2
MF2300204;0.0;0;2
MF2300205;0.0;0;2
MF2300207;0.0;0;1
MF2300208;0.0;0;2
MF2300209;0.0;0;2
MF2300210;0.0;0;2
AM2300054;0.0;0;1
AM2300055;0.0;0;1
MF2300211;0.0;0;1
MF2300212;0.0;0;2
MF2300213;0.0;0;1
AM2300057;0.0;0;1
AM2300056;0.0;0;1
AM2300058;0.0;0;1
MF2300218;0.0;0;2
MF2300221;0.0;0;2
AM2300059;0.0;0;1
AM2300060;0.0;0;1
MF2300229;0.0;0;1
MF2300214;0.0;0;1
MF2300215;0.0;0;1
MF2300216;0.0;0;1
MF2300217;0.0;0;2
MF2300219;0.0;0;2
MF2300220;0.0;0;1
MF2300224;0.0;0;2
MF2300233;0.0;0;1
MF2300222;0.0;0;1
MF2300223;0.0;0;1
MF2300225;0.0;0;1
MF2300226;0.0;0;2
MF2300227;0.0;0;1
MF2300228;0.0;0;2
MF2300230;0.0;0;1
MF2300231;0.0;0;2
MF2300239;0.0;0;1
MF2300235;0.0;0;1
AM2300061;0.0;0;1
MF2300255;0.0;0;1
MF2300256;0.0;0;1
MF2300258;0.0;0;1
MF2300238;0.0;0;2
MF2300234;0.0;0;1
MF2300237;0.0;0;1
MF2300240;0.0;0;1
MF2300241;0.0;0;1
MF2300244;0.0;0;2
MF2300248;0.0;0;2
MF2300242;0.0;0;1
MF2300243;0.0;0;2
MF2300246;0.0;0;2
MF2300206;0.0;0;2
MF2300261;0.0;0;2
MF2300262;0.0;0;2
MF2300245;0.0;0;1
MF2300250;0.0;0;1
MF2300251;0.0;0;2
MF2300252;0.0;0;1
MF2300267;0.0;0;1
MF2300271;0.0;0;2
MF2300272;0.0;0;2
MF2300269;0.0;0;1
MF2300277;0.0;0;1
MF2300282;0.0;0;1
MF2300274;0.0;0;1
MF2300276;0.0;0;1
MF2300281;0.0;0;1
MF2300270;0.0;0;1
MF2300280;0.0;0;2
AM2300064;0.0;0;1
AM2300067;0.0;0;1
AM2300068;0.0;0;1
MF2300284;0.0;0;1
MF2300289;0.0;0;1
MF2300292;0.0;0;2
MF2300293;0.0;0;1
MF2300298;0.0;0;2
MF2300259;0.0;0;1
MF2300260;0.0;0;1
MF2300263;0.0;0;2
MF2300264;0.0;0;2
MF2300268;0.0;0;1
MF2300275;0.0;0;2
MF2300278;0.0;0;1
MF2300286;0.0;0;2
MF2300287;0.0;0;1
MF2300290;0.0;0;1
MF2300294;0.0;0;2
MF2300265;0.0;0;1
MF2300283;0.0;0;2
MF2300285;0.0;0;2
MF2300291;0.0;0;1
MF2300295;0.0;0;2
MF2300296;0.0;0;2
MF2300266;0.0;0;1
MF2300273;0.0;0;1
MF2300303;0.0;0;2
MF2300304;0.0;0;2
MF2300279;0.0;0;2
MF2300305;0.0;0;2
MF2300288;0.0;0;2
MF2300257;0.0;0;1
MF2300300;0.0;0;1
MF2300301;0.0;0;2
MF2300306;0.0;0;2
MF2300308;0.0;0;2
MF2300309;0.0;0;1
MF2300312;0.0;0;2
MF2300314;0.0;0;1
MF2300316;0.0;0;2
MF2300315;0.0;0;2
AM2300070;0.0;0;1
AM2300074;0.0;0;1
AM2300073;0.0;0;1
MF2300310;0.0;0;1
MF2300302;0.0;0;1
MF2300321;0.0;0;1
MF2300323;0.0;0;2
MF2300324;0.0;0;2
MF2300326;0.0;0;2
MF2300327;0.0;0;1
MF2300319;0.0;0;2
MF2300320;0.0;0;1
MF2300330;0.0;0;1
MF2300331;0.0;0;1
MF2300336;0.0;0;1
MF2300336;0.0;0;2
MF2300336;0.0;0;1
MF2300336;0.0;0;1
MF2300336;0.0;0;1
MF2300336;0.0;0;1
MF2300336;0.0;0;1
MF2300336;0.0;0;1
MF2300336;0.0;0;2
MF2300336;0.0;0;2
MF2300338;0.0;0;1
MF2300338;0.0;0;2
MF2300338;0.0;0;2
MF2300338;0.0;0;2
MF2300338;0.0;0;2
MF2300338;0.0;0;2
MF2300338;0.0;0;1
MF2300338;0.0;0;2
MF2300338;0.0;0;1
MF2300338;0.0;0;2
MF2300341;0.0;0;1
MF2300197;0.0;0;1
MF2300232;0.0;0;1
MF2300236;0.0;0;1
MF2300247;0.0;0;1
MF2300249;0.0;0;1
MF2300253;0.0;0;1
MF2300254;0.0;0;1
MF2300299;0.0;0;2
MF2300307;0.0;0;1
MF2300311;0.0;0;1
MF2300313;0.0;0;1
MF2300317;0.0;0;2
MF2300349;0.0;0;1
MF2300348;0.0;0;2
MF2300358;0.0;0;1
AM2300072;0.0;0;1
AM2300072;0.0;0;1
