RT_Num;CT_Num;DO_Type;DO_Piece;RT_Date;RT_Mode;RT_Montant;RT_Etat;BQ_Num
RF00003537;1032;0;AM250000961;2025-05-20 00:00:00;3;94136.874;2;AMEN BK 2
RF00003538;1032;0;AM250000953;2025-05-20 00:00:00;5;950.877;2;
RF00003539;1375;0;AM250001043;2025-05-20 00:00:00;3;27838.427;2;AMEN BK 2
RF00003540;1375;0;AM250001043;2025-05-20 00:00:00;5;281.126;1;
RF00003541;4082;0;AM250000841;2025-05-21 00:00:00;2;478329.299;2;ZITOUNA
RF00003542;4082;0;AM250000841;2025-05-21 00:00:00;5;4831.609;2;
RF00003543;1375;0;AM250001022;2025-05-03 00:00:00;3;36111.739;1;AMEN BK 2
RF00003544;1375;0;;2025-05-21 00:00:00;5;364.765;0;
RF00003545;1351;0;AM250000946;2025-05-22 00:00:00;3;50000.0;2;AMEN BK 2
RF00003546;1178;0;AM250000741;2025-05-22 00:00:00;3;276562.766;2;AMEN BK 2
RF00003547;1178;0;AM250000981;2025-05-22 00:00:00;5;1389.762;2;
RF00003548;1375;0;AM250001089;2025-05-22 00:00:00;4;42447.7;2;BTL
RF00003549;1375;0;AM250001104;2025-05-22 00:00:00;5;767.94;1;
RF00003550;1032;0;AM250000885;2025-05-22 00:00:00;2;486821.494;2;ZITOUNA
RF00003551;1343;0;AMR250000022;2025-05-22 00:00:00;3;96542.75;2;AMEN BK 2
RF00003552;1343;0;AM250000937;2025-05-22 00:00:00;5;975.179;1;
RF00003553;1343;0;AM250000900;2025-05-22 00:00:00;3;61431.585;2;AMEN BK 2
RF00003554;1343;0;AM250000958;2025-05-22 00:00:00;5;620.521;2;
RF00003555;1024;0;AM250000913;2025-05-22 00:00:00;3;28842.202;2;AMEN BK 2
RF00003556;1024;0;AM250000916;2025-05-22 00:00:00;5;291.335;1;
RF00003557;4104;0;AM250000973;2025-05-22 00:00:00;3;30438.684;2;AMEN BK 2
RF00003558;4104;0;AM250000973;2025-05-22 00:00:00;5;307.461;2;
RF00003559;1037;0;AM250000938;2025-05-22 00:00:00;3;99045.631;2;AMEN BK 2
RF00003560;1037;0;AM250000938;2025-05-22 00:00:00;5;1000.46;1;
RF00003561;FLE0016;17; 66045710;2025-05-23 00:00:00;2;290.766;2;AMEN BK 2
RF00003562;1080;0;AM240002922;2025-05-23 00:00:00;3;4100000.0;2;AMEN BK 2
RF00003563;1080;0;AM240003211;2025-05-23 00:00:00;5;41414.141;2;
RF00003564;0763;17;21717;2025-05-24 00:00:00;2;3846.611;2;AMEN BK 2
RF00003565;0763;0;21717;2025-05-24 00:00:00;5;38.854;2;
RF00003566;1024;0;AM250000964;2025-05-24 00:00:00;3;53802.944;2;AMEN BK 2
RF00003567;1024;0;AM250000965;2025-05-24 00:00:00;5;543.464;2;
RF00003568;4104;0;AM250000930;2025-05-26 00:00:00;3;54431.471;2;AMEN BK 2
RF00003569;4104;0;AM250000930;2025-05-26 00:00:00;5;549.812;2;
RF00003570;1343;0;AM250000931;2025-05-26 00:00:00;3;35875.731;2;AMEN BK 2
RF00003571;1343;0;AM250000931;2025-05-26 00:00:00;5;362.381;1;
RF00003572;1343;0;AM250001002;2025-05-26 00:00:00;3;34058.811;2;AMEN BK 2
RF00003573;1343;0;AM250001002;2025-05-26 00:00:00;5;344.028;2;
RF00003574;1032;0;AM250000999;2025-05-27 00:00:00;3;108461.106;2;AMEN BK 2
RF00003575;1032;0;AM250001068;2025-05-27 00:00:00;5;1095.566;2;
RF00003576;1351;0;AM250000995;2025-05-27 00:00:00;3;50000.0;2;AMEN BK 2
RF00003577;1375;0;AM250001104;2025-05-28 00:00:00;4;33578.421;2;BTL
RF00003578;1375;0;AM250001176;2025-05-03 00:00:00;4;38991.015;1;AMEN BK 2
RF00003579;1375;0;;2025-05-28 00:00:00;5;393.848;0;
RF00003580;1375;0;AM250001122;2025-05-28 00:00:00;4;37471.518;1;BTL
RF00003581;1375;0;;2025-05-28 00:00:00;5;378.5;0;
RF00003582;1155;0;AM250001003;2025-05-29 00:00:00;3;109789.295;2;AMEN BK 2
RF00003583;1155;0;AM250001003;2025-05-29 00:00:00;5;551.705;2;
RF00003584;1375;0;AM250001214;2025-05-03 00:00:00;2;35452.229;2;AMEN BK 2
RF00003585;1375;0;AM250001214;2025-05-29 00:00:00;5;358.103;2;
RF00003586;1375;0;AM250001128;2025-05-29 00:00:00;2;30266.506;2;AMEN BK 2
RF00003587;1375;0;AM250001128;2025-05-29 00:00:00;5;305.722;1;
RF00003588;1375;0;AM250001149;2025-05-29 00:00:00;2;16125.328;2;AMEN BK 2
RF00003589;1375;0;AM250001149;2025-05-29 00:00:00;5;162.882;2;
RF00003590;1049;0;AM250000963;2025-05-29 00:00:00;3;27246.323;2;AMEN BK 2
RF00003591;1049;0;AM250001141;2025-05-29 00:00:00;5;275.215;2;
RF00003592;1366;0;AMR250000042;2025-05-30 00:00:00;3;21702.116;2;AMEN BK 2
RF00003593;1366;0;AM250001020;2025-05-30 00:00:00;3;219.213;1;AMEN BK 2
RF00003594;1343;0;AM250001021;2025-05-30 00:00:00;3;72054.472;2;AMEN BK 2
RF00003595;1343;0;AM250001034;2025-05-30 00:00:00;5;727.822;2;
RF00003596;1043;0;;2025-06-02 00:00:00;3;4500000.0;0;AMEN BK 2
RF00003597;HONO632;0;03/20250;2025-06-03 00:00:00;4;16160.2;2;BTL
RF00003598;HONO632;0;03/20250;2025-06-03 00:00:00;5;499.8;2;
RF00003599;1098;0;AM250000934;2025-06-03 00:00:00;3;109659.327;2;AMEN BK 2
RF00003600;1098;0;AM250000934;2025-06-03 00:00:00;5;1107.669;2;
RF00003601;1098;0;AM250000954;2025-06-03 00:00:00;3;75526.549;2;AMEN BK 2
RF00003602;1098;0;AM250000956;2025-06-03 00:00:00;5;762.894;2;
RF00003603;1032;0;AM250001059;2025-06-03 00:00:00;2;705398.948;2;ZITOUNA
