MC_Numero;MC_Date;MC_TypeMvt;MC_Debit;MC_Credit;MC_Cloture;CA_No;CA_Type;CA_Solde;CA_SoldeEspece;CA_SoldeCheque;JO_Num
MC2511260031;2025-11-26;29;0.0;40.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511260032;2025-11-26;41;0.0;6.8;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260033;2025-11-26;29;0.0;80.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511260034;2025-11-26;29;0.0;320.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511260035;2025-11-26;8;0.0;2000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260036;2025-11-26;29;0.0;280.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511270001;2025-11-27;2;155.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270002;2025-11-27;2;1565.482;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270003;2025-11-27;5;0.0;5000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270003;2025-11-27;4;5000.0;0.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270004;2025-11-27;2;2860.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270005;2025-11-27;2;3183.262;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270006;2025-11-27;52;0.0;20.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270007;2025-11-27;41;0.0;2.1;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270008;2025-11-27;34;0.0;5.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270009;2025-11-27;29;0.0;250.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270010;2025-11-27;29;0.0;350.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270011;2025-11-27;29;0.0;250.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270012;2025-11-27;2;3190.7;0.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511270013;2025-11-27;29;0.0;40.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511270014;2025-11-27;8;0.0;36930.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270015;2025-11-27;2;4.3;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270016;2025-11-27;21;0.0;250.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270017;2025-11-27;2;27.7;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270018;2025-11-27;2;4182.6;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270019;2025-11-27;41;0.0;1.7;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270020;2025-11-27;41;0.0;1.7;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270021;2025-11-27;52;0.0;20.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270022;2025-11-27;46;0.0;29.5;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270023;2025-11-27;2;1500.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270024;2025-11-27;2;5015.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270025;2025-11-27;8;0.0;1500.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270026;2025-11-27;8;0.0;4815.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270027;2025-11-27;2;906.014;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270028;2025-11-27;2;4381.4;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270029;2025-11-27;2;1044.28;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270030;2025-11-27;2;2985.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270031;2025-11-27;2;5600.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270032;2025-11-27;2;3400.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270033;2025-11-27;8;0.0;2318.2;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270034;2025-11-27;49;0.0;5.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270035;2025-11-27;51;0.0;30.5;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270036;2025-11-27;51;0.0;30.5;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270037;2025-11-27;51;0.0;44.5;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270038;2025-11-27;51;0.0;46.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270039;2025-11-27;52;0.0;375.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270040;2025-11-27;52;0.0;240.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270041;2025-11-27;52;0.0;410.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270042;2025-11-27;29;0.0;350.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270043;2025-11-27;29;0.0;300.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270044;2025-11-27;52;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270045;2025-11-27;52;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270046;2025-11-27;52;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270047;2025-11-27;34;0.0;120.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270048;2025-11-27;40;0.0;30.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270049;2025-11-27;34;0.0;60.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270050;2025-11-27;34;0.0;150.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511270051;2025-11-27;2;20.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511270052;2025-11-27;54;0.0;9360.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511280001;2025-11-28;2;10451.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280002;2025-11-28;2;14130.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280003;2025-11-28;29;0.0;600.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511280004;2025-11-28;29;0.0;40.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511280005;2025-11-28;2;150.0;0.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511280006;2025-11-28;8;0.0;44980.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511280007;2025-11-28;29;0.0;120.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511280008;2025-11-28;46;0.0;83.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
